Statistical profiling result from isolate-0x1bd8d000-2870177-v8.log, (16812 ticks, 5394 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      5    0.0%    0.0%  JS: +isEmpty /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/lodash/lodash.js:11578:21
      5    0.0%    0.0%  JS: *isEmpty /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/lodash/lodash.js:11578:21
      5    0.0%    0.0%  Builtin: BaselineOutOfLinePrologue
      4    0.0%    0.0%  JS: +YAJSPath /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:17:16
      4    0.0%    0.0%  JS: *expectingValue /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:191:19
      4    0.0%    0.0%  JS: *appendUtf8Byte /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:999:19
      4    0.0%    0.0%  Builtin: LessThan_Baseline
      4    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
      4    0.0%    0.0%  Builtin: ArrayShift
      3    0.0%    0.0%  JS: +emit node:events:455:44
      3    0.0%    0.0%  JS: *get size /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:38:13
      3    0.0%    0.0%  JS: *flushPendingString /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:95:32
      3    0.0%    0.0%  Builtin: StringPrototypeSlice
      3    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
      3    0.0%    0.0%  Builtin: BaselineLeaveFrame
      3    0.0%    0.0%  Builtin: ArrayConcat
      2    0.0%    0.0%  JS: ^processTicksAndRejections node:internal/process/task_queues:71:35
      2    0.0%    0.0%  JS: +stream.queue.stream.push /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:40:41
      2    0.0%    0.0%  JS: +stepIntoObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:20:19
      2    0.0%    0.0%  JS: +push /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:121:9
      2    0.0%    0.0%  JS: +matchFrom /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:96:14
      2    0.0%    0.0%  JS: +match /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:68:10
      2    0.0%    0.0%  JS: +match /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:269:10
      2    0.0%    0.0%  JS: +ChildNode /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/operator/ChildNode.js:7:16
      2    0.0%    0.0%  JS: *onValueBoundary /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:179:26
      2    0.0%    0.0%  Builtin: ToInteger
      2    0.0%    0.0%  Builtin: StrictEqual_WithFeedback
      2    0.0%    0.0%  Builtin: StrictEqual_Baseline
      2    0.0%    0.0%  Builtin: RecordWriteIgnoreFP
      2    0.0%    0.0%  Builtin: KeyedHasIC_PolymorphicName
      2    0.0%    0.0%  Builtin: Increment_Baseline
      2    0.0%    0.0%  Builtin: FindNonDefaultConstructorOrConstruct
      2    0.0%    0.0%  Builtin: Construct_Baseline
      2    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      2    0.0%    0.0%  Builtin: ArrayPrototypePush
      2    0.0%    0.0%  Builtin: AllocateInYoungGeneration
      1    0.0%    0.0%  JS: ~toCharArray /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/misc/Utils.js:139:21
      1    0.0%    0.0%  JS: ~stripLeadingBom /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:290:20
      1    0.0%    0.0%  JS: ~onStartObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:153:24
      1    0.0%    0.0%  JS: ~howMuchToRead node:internal/streams/readable:628:23
      1    0.0%    0.0%  JS: ~__decorate /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/misc/Interval.js:6:56
      1    0.0%    0.0%  JS: ~__decorate /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/misc/Array2DHashSet.js:6:56
      1    0.0%    0.0%  JS: ~__decorate /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/DefaultErrorStrategy.js:6:56
      1    0.0%    0.0%  JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/antlr4ts/misc/BitSet.js:1:1
