Statistical profiling result from isolate-0x1bd8d000-2870177-v8.log, (16812 ticks, 5394 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    583  100.0%          JS: +ondata node:internal/streams/readable:1005:18
    583  100.0%            JS: *emit node:events:455:44
    365   38.5%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    365  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    365  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
    724   13.4%    JS: *endObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:119:14
    656   90.6%      JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
    656  100.0%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    405   61.7%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    405  100.0%            JS: +ondata node:internal/streams/readable:1005:18
    251   38.3%          JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    251  100.0%            JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     68    9.4%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     67   98.5%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     67  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     67  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
      1    1.5%        JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      1  100.0%          JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      1  100.0%            JS: ~ondata node:internal/streams/readable:1005:18
    429    8.0%    JS: *StreamPosition /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:9:16
    429  100.0%      JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
    427   99.5%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    250   58.5%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    250  100.0%            JS: +ondata node:internal/streams/readable:1005:18
    177   41.5%          JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    177  100.0%            JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    290    5.4%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    186   64.1%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    186  100.0%        JS: +ondata node:internal/streams/readable:1005:18
    186  100.0%          JS: *emit node:events:455:44
    186  100.0%            JS: +addChunk node:internal/streams/readable:548:18
    102   35.2%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    102  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    102  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
    102  100.0%            JS: *emit node:events:455:44
    119    2.2%    JS: *endArray /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:185:13
    119  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     68   57.1%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     68  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     68  100.0%            JS: *emit node:events:455:44
     51   42.9%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     51  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     51  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
    109    2.0%    JS: *startObjectEntry /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:131:21
    109  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    103   94.5%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    103  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    103  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
      6    5.5%        JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      6  100.0%          JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      6  100.0%            JS: ~ondata node:internal/streams/readable:1005:18
     58    1.1%    JS: ^wrapSafe node:internal/modules/cjs/loader:1650:18
     56   96.6%      JS: ^<anonymous> node:internal/modules/cjs/loader:1711:37
     55   98.2%        JS: ^<anonymous> node:internal/modules/cjs/loader:1858:37
     55  100.0%          JS: ^<anonymous> node:internal/modules/cjs/loader:1472:33
     55  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:1204:24
      1    1.8%        JS: ^<anonymous> node:internal/modules/cjs/loader:1204:24
      1  100.0%          JS: ^traceSync node:diagnostics_channel:326:12
      1  100.0%            JS: ^wrapModuleLoad node:internal/modules/cjs/loader:238:24
      1    1.7%      JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/dispatcher/AbstractObjectBuilder.js:1:1
      1  100.0%        JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/dispatcher/ObjectDispatcher.js:1:1
      1  100.0%          JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:1:1
      1  100.0%            JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:1:1
      1    1.7%      JS: ^<anonymous> node:internal/modules/cjs/loader:1204:24
      1  100.0%        JS: ^wrapModuleLoad node:internal/modules/cjs/loader:238:24
      1  100.0%          JS: ^<anonymous> node:internal/modules/cjs/loader:1496:36
      1  100.0%            JS: ^require node:internal/modules/helpers:151:19

   2612   15.5%  JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
   1448   55.4%    JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
   1448  100.0%      JS: +ondata node:internal/streams/readable:1005:18
   1448  100.0%        JS: *emit node:events:455:44
   1448  100.0%          JS: +addChunk node:internal/streams/readable:548:18
   1448  100.0%            JS: +readableAddChunkPushByteMode node:internal/streams/readable:461:38
   1138   43.6%    JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
   1138  100.0%      JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
   1138  100.0%        JS: ^ondata node:internal/streams/readable:1005:18
   1138  100.0%          JS: *emit node:events:455:44
   1138  100.0%            JS: ^addChunk node:internal/streams/readable:548:18

    782    4.7%  Builtin: StringAdd_CheckNone
    449   57.4%    JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    449  100.0%      JS: +ondata node:internal/streams/readable:1005:18
    449  100.0%        JS: *emit node:events:455:44
    449  100.0%          JS: +addChunk node:internal/streams/readable:548:18
    449  100.0%            JS: +readableAddChunkPushByteMode node:internal/streams/readable:461:38
    321   41.0%    JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    321  100.0%      JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    321  100.0%        JS: ^ondata node:internal/streams/readable:1005:18
    321  100.0%          JS: *emit node:events:455:44
    321  100.0%            JS: ^addChunk node:internal/streams/readable:548:18

    777    4.6%  Builtin: RecordWriteSaveFP
    616   79.3%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    346   56.2%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    346  100.0%        JS: +ondata node:internal/streams/readable:1005:18
    346  100.0%          JS: *emit node:events:455:44
    346  100.0%            JS: +addChunk node:internal/streams/readable:548:18
    265   43.0%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    265  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    265  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
    265  100.0%            JS: *emit node:events:455:44
     64    8.2%    JS: *match /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:269:10
     64  100.0%      JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
     64  100.0%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     44   68.8%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     44  100.0%            JS: +ondata node:internal/streams/readable:1005:18
     20   31.3%          JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     20  100.0%            JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     49    6.3%    Builtin: GrowFastSmiOrObjectElements
     44   89.8%      JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
     44  100.0%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     29   65.9%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     29  100.0%            JS: +ondata node:internal/streams/readable:1005:18
     15   34.1%          JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     15  100.0%            JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      5   10.2%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      5  100.0%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      5  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      5  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     41    5.3%    JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
     41  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     21   51.2%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     21  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     21  100.0%            JS: *emit node:events:455:44
     19   46.3%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     19  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     19  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
      1    2.4%        JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      1  100.0%          JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      1  100.0%            JS: ~ondata node:internal/streams/readable:1005:18

    700    4.2%  JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
    697   99.6%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    393   56.4%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    393  100.0%        JS: +ondata node:internal/streams/readable:1005:18
    393  100.0%          JS: *emit node:events:455:44
    393  100.0%            JS: +addChunk node:internal/streams/readable:548:18
    298   42.8%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    298  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    298  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
    298  100.0%            JS: *emit node:events:455:44

    683    4.1%  JS: *match /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:269:10
    519   76.0%    JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
    516   99.4%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    290   56.2%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    290  100.0%          JS: +ondata node:internal/streams/readable:1005:18
    290  100.0%            JS: *emit node:events:455:44
    223   43.2%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    223  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    223  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
    160   23.4%    JS: *onValue /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:197:12
    109   68.1%      JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
    109  100.0%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     70   64.2%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     70  100.0%            JS: +ondata node:internal/streams/readable:1005:18
     39   35.8%          JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     39  100.0%            JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     51   31.9%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     28   54.9%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     28  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     28  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     23   45.1%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     23  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     23  100.0%            JS: *emit node:events:455:44

    547    3.3%  JS: *endObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:119:14
    497   90.9%    JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
    497  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    318   64.0%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    318  100.0%          JS: +ondata node:internal/streams/readable:1005:18
    318  100.0%            JS: *emit node:events:455:44
    179   36.0%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    179  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    179  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     49    9.0%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     46   93.9%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     46  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     46  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
     46  100.0%            JS: *emit node:events:455:44
      2    4.1%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      2  100.0%        JS: +ondata node:internal/streams/readable:1005:18
      2  100.0%          JS: *emit node:events:455:44
      2  100.0%            JS: +addChunk node:internal/streams/readable:548:18
      1    2.0%      JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      1  100.0%        JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      1  100.0%          JS: ~ondata node:internal/streams/readable:1005:18
      1  100.0%            JS: +emit node:events:455:44

    394    2.3%  JS: *matchFrom /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/path/YAJSPath.js:96:14
    393   99.7%    JS: *match /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:269:10
    393  100.0%      JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
    393  100.0%        JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    244   62.1%          JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    244  100.0%            JS: +ondata node:internal/streams/readable:1005:18
    149   37.9%          JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    149  100.0%            JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27

    344    2.0%  JS: *onValue /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:197:12
    224   65.1%    JS: *onEndObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:115:22
    224  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    139   62.1%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    139  100.0%          JS: +ondata node:internal/streams/readable:1005:18
    139  100.0%            JS: *emit node:events:455:44
     85   37.9%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     85  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     85  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
    116   33.7%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     58   50.0%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     58  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     58  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
     58  100.0%            JS: *emit node:events:455:44
     55   47.4%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     55  100.0%        JS: +ondata node:internal/streams/readable:1005:18
     55  100.0%          JS: *emit node:events:455:44
     55  100.0%            JS: +addChunk node:internal/streams/readable:548:18
      3    2.6%      JS: ~<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      3  100.0%        JS: ~stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      3  100.0%          JS: ~ondata node:internal/streams/readable:1005:18
      2   66.7%            JS: +emit node:events:455:44
      1   33.3%            JS: *emit node:events:455:44
      4    1.2%    JS: +parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
      4  100.0%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      4  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      4  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
      4  100.0%            JS: *emit node:events:455:44

    290    1.7%  JS: *push /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamPosition.js:121:9
    223   76.9%    JS: *startObject /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:93:16
    223  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    136   61.0%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    136  100.0%          JS: +ondata node:internal/streams/readable:1005:18
    136  100.0%            JS: *emit node:events:455:44
     86   38.6%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     86  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     86  100.0%            JS: ^ondata node:internal/streams/readable:1005:18
     66   22.8%    JS: *startArray /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/context/StreamContext.js:145:15
     66  100.0%      JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
     39   59.1%        JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     39  100.0%          JS: +ondata node:internal/streams/readable:1005:18
     39  100.0%            JS: *emit node:events:455:44
     27   40.9%        JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
     27  100.0%          JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
     27  100.0%            JS: ^ondata node:internal/streams/readable:1005:18

    285    1.7%  JS: *onColon /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:106:18
    281   98.6%    JS: *parse /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/lib/utils/JsonSaxParser.js:324:10
    174   61.9%      JS: +<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    174  100.0%        JS: +ondata node:internal/streams/readable:1005:18
    174  100.0%          JS: *emit node:events:455:44
    174  100.0%            JS: +addChunk node:internal/streams/readable:548:18
    107   38.1%      JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
    107  100.0%        JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
    107  100.0%          JS: ^ondata node:internal/streams/readable:1005:18
    107  100.0%            JS: *emit node:events:455:44
      3    1.1%    JS: ^<anonymous> /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:46:5
      3  100.0%      JS: ^stream.write /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/node_modules/through/index.js:25:27
      3  100.0%        JS: ^ondata node:internal/streams/readable:1005:18
      3  100.0%          JS: *emit node:events:455:44
      3  100.0%            JS: ^addChunk node:internal/streams/readable:548:18

    272    1.6%  /usr/lib/x86_64-linux-gnu/libc.so.6
     37   13.6%    JS: *onColon /home/thiago/workspace/yajs/.claude/worktrees/agent-a553fe25a05f302b7/dist/main/yajs.js:106:18
